schema_version,dataset,architecture,seed,aggregate_accuracy,train_time_sec,epochs_run,normal_recall,normal_precision,normal_support,dos_recall,dos_precision,dos_support,probe_recall,probe_precision,probe_support,r2l_recall,r2l_precision,r2l_support,u2r_recall,u2r_precision,u2r_support
1.0,nsl_kdd,random_forest,12,0.7449875798438609,1.2,,0.9739470703326125,0.6422653809588483,9711,0.7853311879860553,0.9618985055017244,7458,0.59727385377943,0.8546099290780141,2421,0.011619462599854757,0.9411764705882353,2754,0.01,0.6666666666666666,200
1.0,nsl_kdd,random_forest,13,0.7611781405251952,1.16,,0.9737411183194316,0.6581291759465479,9711,0.8183159023866988,0.963682299068372,7458,0.6042957455596861,0.861094761624485,2421,0.04938271604938271,0.9714285714285714,2754,0.01,0.5,200
1.0,nsl_kdd,random_forest,14,0.7478264726756565,1.16,,0.9737411183194316,0.6452405322415558,9711,0.7792973987664253,0.9620923688131104,7458,0.6212308963238331,0.856492027334852,2421,0.030501089324618737,0.9655172413793104,2754,0.015,0.6,200
1.0,nsl_kdd,random_forest,15,0.7509758694109298,1.2,,0.9737411183194316,0.6479375085651637,9711,0.7996781979082864,0.9628672909267033,7458,0.5997521685254027,0.8581560283687943,2421,0.019970951343500364,0.9322033898305084,2754,0.015,0.6,200
1.0,nsl_kdd,random_forest,16,0.7452537260468417,1.2,,0.973844094326022,0.6421102661596958,9711,0.775811209439528,0.9617686170212766,7458,0.607600165220983,0.860233918128655,2421,0.029774872912127815,0.9761904761904762,2754,0.025,0.8333333333333334,200
1.0,nsl_kdd,random_forest,17,0.7578069552874379,1.21,,0.9737411183194316,0.653896687642625,9711,0.8041029766693484,0.96306407579894,7458,0.6154481619165634,0.8713450292397661,2421,0.05010893246187364,0.9787234042553191,2754,0.015,0.6,200
1.0,nsl_kdd,random_forest,18,0.7419268985095813,1.17,,0.9739470703326125,0.6386656762779391,9711,0.7649503888441942,0.9612468407750632,7458,0.6055349029326724,0.863877430760165,2421,0.03449527959331881,0.9595959595959596,2754,0.01,0.5,200
1.0,nsl_kdd,random_forest,19,0.743346344925479,1.18,,0.9737411183194316,0.6413456321215409,9711,0.7622687047465808,0.9609533468559838,7458,0.6237092110698058,0.8516638465877044,2421,0.0374001452432825,0.9716981132075472,2754,0.02,0.8,200
1.0,nsl_kdd,random_forest,20,0.7435237757274663,1.21,,0.973844094326022,0.6408918406072106,9711,0.7732636095467954,0.9616474904118726,7458,0.6047087980173482,0.8551401869158879,2421,0.02505446623093682,0.9452054794520548,2754,0.025,0.8333333333333334,200
1.0,nsl_kdd,random_forest,21,0.7496451383960255,1.23,,0.9742559983523839,0.6481024797917523,9711,0.7900241351568785,0.9624305782424044,7458,0.5976869062370921,0.8417684700407213,2421,0.03522149600580973,0.9603960396039604,2754,0.015,0.75,200
1.0,nsl_kdd,random_forest,22,0.7490684882895671,1.17,,0.9737411183194316,0.6450204638472032,9711,0.7905604719764012,0.9626122448979592,7458,0.6018174308137133,0.8698507462686568,2421,0.027233115468409588,0.9615384615384616,2754,0.015,0.5,200
1.0,nsl_kdd,random_forest,23,0.745652945351313,1.24,,0.9732262382864793,0.6440643314706284,9711,0.77822472512738,0.9618826648989062,7458,0.600578273440727,0.8414351851851852,2421,0.03558460421205519,0.9607843137254902,2754,0.015,0.5,200
1.0,nsl_kdd,random_forest,24,0.7417051100070973,1.2,,0.9737411183194316,0.6389620920332455,9711,0.7687047465808527,0.9614288110011739,7458,0.61090458488228,0.8588850174216028,2421,0.01815541031227306,0.9259259259259259,2754,0.015,0.5,200
1.0,nsl_kdd,random_forest,25,0.7476490418736693,1.23,,0.9734321902996602,0.6451238654200505,9711,0.7775543041029767,0.9616915422885572,7458,0.6055349029326724,0.8533178114086146,2421,0.048656499636891795,0.9710144927536232,2754,0.015,0.6,200
