architecture,metric,n_seeds,mean_ci_half_width,median_ci_half_width,sd_subset_means,p05_subset_mean,p95_subset_mean,frac_ci_excludes_full_mean,prefix_ci_half_width,prefix_mean,full_mean
xgboost,dos_recall,40,0.0015903428085719436,0.0015903428085719436,0.0,0.8396185304371144,0.8396185304371144,0.0,0.0015903428085719436,0.8396185304371144,0.8396185304371144
xgboost,probe_recall,3,0.034434511508430285,0.03359528047019991,0.008230007994885538,0.639811372711001,0.6674927715819909,0.079,0.04383812501741163,0.6362384689522236,0.6542854192482445
xgboost,probe_recall,5,0.017868237314893322,0.017246162257259542,0.00625442268963016,0.643370508054523,0.6644361833952912,0.05,0.02378810179005736,0.6465923172242876,0.6542854192482445
xgboost,probe_recall,10,0.01074314989671664,0.010662963940559902,0.004106142496268095,0.6475836431226766,0.6605534902932673,0.023,0.012235549144170955,0.6552664188351921,0.6542854192482445
xgboost,probe_recall,20,0.00709067435865747,0.007143304861479648,0.002316643652937327,0.6505359355638165,0.6582631144155308,0.002,0.00810150557403581,0.6551011978521272,0.6542854192482445
xgboost,probe_recall,30,0.005680110401006444,0.005740568209144616,0.0013287294965620765,0.6520680159713617,0.6564229657166459,0.0,0.006061058235160317,0.6555417871403002,0.6542854192482445
xgboost,probe_recall,40,0.0048596267292169894,0.0048596267292169894,0.0,0.6542854192482445,0.6542854192482445,0.0,0.0048596267292169894,0.6542854192482445,0.6542854192482445
xgboost,r2l_recall,3,0.03300244261339569,0.03380634509820343,0.00808713352379753,0.06269063180827882,0.08957274267731778,0.083,0.042560510286242186,0.08036794964899537,0.07598946986201885
xgboost,r2l_recall,5,0.017575743577749485,0.0178080500651822,0.005938860459824012,0.06557371096586778,0.08554829339143064,0.04,0.016351310409380676,0.07821350762527231,0.07598946986201885
xgboost,r2l_recall,10,0.010173780518013037,0.010249529251333343,0.004098140599166026,0.06927923021060273,0.08300653594771236,0.038,0.009481994295663269,0.07440087145969496,0.07598946986201885
xgboost,r2l_recall,20,0.006743927562341888,0.0067799855148514415,0.0023096681803881237,0.07236564996368915,0.07986746550472038,0.009,0.006785509446088614,0.07334785766158311,0.07598946986201885
xgboost,r2l_recall,30,0.005383113280327448,0.00539956432804988,0.001316226264859868,0.07390401839748242,0.07820200919874118,0.0,0.005375936202132035,0.07473977245219071,0.07598946986201885
xgboost,r2l_recall,40,0.004623541151435418,0.004623541151435418,0.0,0.07598946986201885,0.07598946986201885,0.0,0.004623541151435418,0.07598946986201885,0.07598946986201885
xgboost,u2r_recall,3,0.018971347957462373,0.018972915167983797,0.004903125315559689,0.04,0.056666666666666664,0.051,0.0071710878829157765,0.04833333333333334,0.04675
xgboost,u2r_recall,5,0.009761144812056076,0.009415383441742189,0.003651028486469123,0.041,0.053000000000000005,0.028,0.0076036080689581755,0.045,0.04675
xgboost,u2r_recall,10,0.006156954446486588,0.005853020497612542,0.002360374783613638,0.043,0.051000000000000004,0.022,0.008337310066599584,0.0495,0.04675
xgboost,u2r_recall,20,0.004035059012585526,0.004051345577140291,0.0013976024936405312,0.044500000000000005,0.04900000000000001,0.01,0.00450921491295156,0.04675000000000001,0.04675
xgboost,u2r_recall,30,0.003255277729218135,0.0033500275880450634,0.000782009775699313,0.04533333333333334,0.04800000000000001,0.001,0.003240599342894801,0.04716666666666666,0.04675
xgboost,u2r_recall,40,0.002794429200286143,0.002794429200286143,0.0,0.04675,0.04675,0.0,0.002794429200286143,0.04675,0.04675
lightgbm,aggregate_accuracy,3,0.18491724597852374,0.14911118798810583,0.05230267529078758,0.5690885971137922,0.7332978471729359,0.137,0.43782779785004905,0.6437928791104803,0.6677319907735983
lightgbm,aggregate_accuracy,5,0.10007789452281729,0.10665751335363194,0.03858502561746669,0.6022480482611781,0.7230788679914834,0.154,0.16794970513395158,0.6414567068843151,0.6677319907735983
lightgbm,aggregate_accuracy,10,0.061267004014891255,0.06490597395014078,0.02433101818942529,0.6293907469836764,0.7075448012775019,0.089,0.0736940717987987,0.6495431156848829,0.6677319907735983
lightgbm,aggregate_accuracy,20,0.0417752400956939,0.04247273786611831,0.014273508321141782,0.644589913058907,0.6909195351312988,0.026,0.039383698495344135,0.6886799148332151,0.6677319907735983
lightgbm,aggregate_accuracy,30,0.03352745458906317,0.033997621860874266,0.008545513421652946,0.6547026555476695,0.6833288975632836,0.005,0.03708255571212104,0.6673645611544831,0.6677319907735983
lightgbm,aggregate_accuracy,40,0.02888510089835791,0.02888510089835791,0.0,0.6677319907735983,0.6677319907735983,0.0,0.02888510089835791,0.6677319907735983,0.6677319907735983
lightgbm,normal_recall,3,0.2132193254834446,0.09130730195618977,0.07214323210059038,0.7577300655613908,0.9662719253080698,0.234,0.7443409044658174,0.77383036419181,0.8964730717742766
lightgbm,normal_recall,5,0.13294179813739554,0.09260033326094724,0.05722809485596307,0.7864596848934198,0.9574750283184019,0.307,0.28762607470564583,0.8169910410874266,0.8964730717742766
lightgbm,normal_recall,10,0.08523772769719937,0.08543054497362962,0.03727877044902266,0.8320914426938524,0.9475023169601484,0.2,0.12333843082835277,0.8466790237874576,0.8964730717742766
lightgbm,normal_recall,20,0.061043885016515975,0.06451165453646715,0.02025225479025371,0.8622039439810523,0.9305516939553086,0.066,0.06127219611102329,0.8978683966635774,0.8964730717742766
lightgbm,normal_recall,30,0.049266976608330265,0.05181350259588301,0.011790065100955127,0.8799656746644698,0.9175603267771942,0.013,0.04637993565980051,0.9030343596608655,0.8964730717742766
lightgbm,normal_recall,40,0.04269895138781742,0.04269895138781742,0.0,0.8964730717742766,0.8964730717742766,0.0,0.04269895138781742,0.8964730717742766,0.8964730717742766
lightgbm,dos_recall,3,0.3728692539039338,0.23934331706848821,0.10688855471374256,0.5055510860820595,0.8272995441137034,0.092,0.26519544641200593,0.7500670421024404,0.693148297130598
lightgbm,dos_recall,5,0.20501724379129727,0.16126452750009462,0.0803538030155055,0.5523907213730223,0.8067337087691069,0.126,0.09920515400106274,0.734271922767498,0.693148297130598
lightgbm,dos_recall,10,0.12930089610695114,0.14260908478938233,0.052466746228782175,0.6003016894609815,0.7720454545454545,0.127,0.11377355059205965,0.7151246983105389,0.693148297130598
lightgbm,dos_recall,20,0.08848723369600804,0.09112114570260561,0.031052179090625007,0.6430138777152051,0.7457780235988201,0.052,0.05502257532714474,0.7440332528828104,0.693148297130598
lightgbm,dos_recall,30,0.07170274904630448,0.07267545416339327,0.0183390402372031,0.6654321980870652,0.7251231339948153,0.008,0.07917441637301408,0.6883748994368463,0.693148297130598
lightgbm,dos_recall,40,0.06179310269735282,0.06179310269735282,0.0,0.693148297130598,0.693148297130598,0.0,0.06179310269735282,0.693148297130598,0.693148297130598
lightgbm,probe_recall,3,0.5549566922642226,0.5516930640301736,0.13632232718237786,0.20616136582679334,0.6546124191105603,0.097,0.2479356395994014,0.5431639818256918,0.4436080132176786
lightgbm,probe_recall,5,0.29813774574515356,0.3138492421764116,0.10803164883127983,0.25340355225113587,0.6113341594382486,0.084,0.30526665582942925,0.40198265179677817,0.4436080132176786
lightgbm,probe_recall,10,0.17728102787784136,0.18024958583531972,0.06659922312452515,0.3285336637752994,0.5540375877736471,0.032,0.18097202850921656,0.4021065675340768,0.4436080132176786
lightgbm,probe_recall,20,0.11746569647703496,0.11800822979675343,0.039209259121059103,0.3816811235026848,0.5074225526641882,0.008,0.111208410164515,0.4768071045022718,0.4436080132176786
lightgbm,probe_recall,30,0.09397959178806338,0.09429960235164848,0.022193043545880833,0.40771857359217956,0.48054591766487675,0.0,0.09356200398629881,0.43274129147735085,0.4436080132176786
lightgbm,probe_recall,40,0.08049204340526973,0.08049204340526973,0.0,0.4436080132176786,0.4436080132176786,0.0,0.08049204340526973,0.4436080132176786,0.4436080132176786
lightgbm,r2l_recall,3,0.10357752087289478,0.07267207008981585,0.03162361135919977,0.002178649237472765,0.10119220527717254,0.176,0.05640513227568938,0.028806584362139898,0.035693536673928786
lightgbm,r2l_recall,5,0.05732722177621283,0.05711331410870846,0.022097009527055365,0.0062418300653594464,0.0766267247639796,0.188,0.027453166661836476,0.02549019607843136,0.035693536673928786
lightgbm,r2l_recall,10,0.03589861156640342,0.037597990938845534,0.014310624390290362,0.013251633986928071,0.05869462599854752,0.12,0.042574712292365556,0.03907044299201159,0.035693536673928786
lightgbm,r2l_recall,20,0.024305177312388387,0.024951557948314856,0.008284218586033053,0.021713870733478545,0.04922113289760342,0.031,0.026638139424606598,0.0359658678286129,0.035693536673928786
lightgbm,r2l_recall,30,0.01964506734688991,0.020036522507403107,0.004941463700318649,0.02723251028806581,0.043344831759864394,0.008,0.018748204575644127,0.032268215928346604,0.035693536673928786
lightgbm,r2l_recall,40,0.017004268577808054,0.017004268577808054,0.0,0.035693536673928786,0.035693536673928786,0.0,0.017004268577808054,0.035693536673928786,0.035693536673928786
lightgbm,u2r_recall,3,0.10239960862379735,0.050197615180410396,0.03647759176277846,0.0,0.115,0.297,0.1250321895875155,0.05333333333333334,0.029625000000000002
lightgbm,u2r_recall,5,0.05849460260858831,0.03693816280948254,0.02689773544691397,0.002,0.08700000000000001,0.286,0.05297119652860741,0.038,0.029625000000000002
lightgbm,u2r_recall,10,0.03864856062674236,0.03364206200732198,0.017631516955161294,0.007000000000000001,0.0645,0.169,0.025684866215619398,0.0335,0.029625000000000002
lightgbm,u2r_recall,20,0.027878966993949404,0.034764776807971756,0.010165646283653802,0.013737500000000003,0.04575,0.08,0.014584132673949889,0.02,0.029625000000000002
lightgbm,u2r_recall,30,0.022935765153175504,0.02546876343881556,0.005811663527832501,0.018166666666666668,0.037175,0.026,0.023889205899363962,0.026333333333333334,0.029625000000000002
