schema_version,dataset,config,library,seed,aggregate_accuracy,train_time_sec,normal_recall,normal_precision,normal_support,dos_recall,dos_precision,dos_support,probe_recall,probe_precision,probe_support,r2l_recall,r2l_precision,r2l_support,u2r_recall,u2r_precision,u2r_support
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,18,0.7636178140525195,2.97,0.9720935022139842,0.6679875459949052,9711,0.7968624296057925,0.9624291497975709,7458,0.6084262701363073,0.7877005347593583,2421,0.12599854756717502,0.9830028328611898,2754,0.06,0.8571428571428571,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,19,0.7592264017033357,2.89,0.9718875502008032,0.6600923206042804,9711,0.7853311879860553,0.9618985055017244,7458,0.664601404378356,0.8298091799896854,2421,0.07334785766158315,0.9805825242718447,2754,0.05,0.8333333333333334,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,20,0.7681866572036906,2.96,0.972299454227165,0.6701682163389878,9711,0.8004827031375704,0.9625927120283779,7458,0.6604708798017348,0.825503355704698,2421,0.10784313725490197,0.9834437086092715,2754,0.05,0.7142857142857143,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,21,0.7668559261887864,2.97,0.9718875502008032,0.673037153248235,9711,0.7936444086886565,0.9622825556820029,7458,0.6480793060718711,0.7848924462231116,2421,0.12672476397966595,0.9830985915492958,2754,0.065,0.8125,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,22,0.7684528034066714,2.9,0.9717845741942127,0.6690060966964412,9711,0.8051756503083937,0.9628026294692962,7458,0.6365138372573317,0.8316243928764167,2421,0.11946259985475671,0.987987987987988,2754,0.06,0.8,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,23,0.7666341376863024,2.86,0.972505406240346,0.6703577512776832,9711,0.7945829981228212,0.9623254303345242,7458,0.6774060305658819,0.8130887456618741,2421,0.09513435003631082,0.9849624060150376,2754,0.055,0.7333333333333333,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,24,0.7635290986515259,2.85,0.9717845741942127,0.6660784867306606,9711,0.7940466613032985,0.962300942476438,7458,0.6617100371747212,0.8169301376848547,2421,0.08823529411764706,0.972,2754,0.045,0.8181818181818182,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,25,0.7582948899929027,2.95,0.9721964782205746,0.658735696343846,9711,0.7945829981228212,0.9626380766731644,7458,0.6179264766625362,0.822429906542056,2421,0.07988380537400146,0.990990990990991,2754,0.06,0.8,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,26,0.7659244144783535,2.86,0.9720935022139842,0.6647419195831279,9711,0.801421292571735,0.9626348848445805,7458,0.6468401486988847,0.8497015735214325,2421,0.09840232389251997,0.9854545454545455,2754,0.065,0.8125,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,27,0.7660131298793471,3.01,0.9720935022139842,0.6677985285795133,9711,0.7940466613032985,0.962300942476438,7458,0.6654275092936803,0.8257303946694003,2421,0.10348583877995643,0.986159169550173,2754,0.055,0.7857142857142857,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,28,0.7615773598296665,2.89,0.9719905262073937,0.6628511235955056,9711,0.7953875033521052,0.9623621025308241,7458,0.6584056175134242,0.8284823284823285,2421,0.07080610021786492,0.9558823529411765,2754,0.045,0.75,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,29,0.7652590489709014,2.85,0.9721964782205746,0.6691473527535615,9711,0.802628050415661,0.96268896751367,7458,0.6332094175960347,0.7996870109546166,2421,0.10239651416122005,0.9791666666666666,2754,0.05,0.8333333333333334,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,30,0.7675212916962385,2.95,0.9719905262073937,0.6668786208845556,9711,0.798203271654599,0.9624898949070332,7458,0.6480793060718711,0.8453663793103449,2421,0.12018881626724764,0.9851190476190477,2754,0.055,0.8461538461538461,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,31,0.7659244144783535,2.94,0.9719905262073937,0.6669728660260034,9711,0.799007776883883,0.9623708010335917,7458,0.6489054109871953,0.829023746701847,2421,0.10457516339869281,0.9829351535836177,2754,0.05,0.8333333333333334,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,32,0.7671220723917672,2.87,0.9720935022139842,0.6701689620900184,9711,0.8020917135961384,0.9626649501126489,7458,0.6389921520033044,0.8095238095238095,2421,0.1140159767610748,0.98125,2754,0.055,0.8461538461538461,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,33,0.7629080908445706,2.93,0.972299454227165,0.6636210289569863,9711,0.7960579243765085,0.9622366288492706,7458,0.6526228831061545,0.8328940432261466,2421,0.08424110384894698,0.9789029535864979,2754,0.04,0.6666666666666666,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,34,0.7690738112136267,2.83,0.972711358253527,0.6711190053285968,9711,0.8020917135961384,0.9626649501126489,7458,0.6456009913258984,0.8221988427143608,2421,0.12164124909222948,0.9852941176470589,2754,0.06,0.8571428571428571,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,35,0.756653655074521,2.64,0.9718875502008032,0.6564651874521805,9711,0.7914990614105658,0.9617139133268165,7458,0.6406443618339529,0.8370210469508904,2421,0.05737109658678286,0.9575757575757575,2754,0.04,0.7272727272727273,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,36,0.7654364797728885,2.57,0.9719905262073937,0.666078611248324,9711,0.8023598820058997,0.9626769626769627,7458,0.6427096241222635,0.8320855614973262,2421,0.09658678286129267,0.9779411764705882,2754,0.055,0.7333333333333333,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,37,0.7606902058197303,2.8,0.972299454227165,0.6624570265908931,9711,0.7866720300348619,0.9619609772093786,7458,0.6261875258157786,0.8163704900376952,2421,0.11474219317356572,0.978328173374613,2754,0.04,0.6666666666666666,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,38,0.7665010645848119,2.99,0.972299454227165,0.6674206545557362,9711,0.7956556717618665,0.9623743107362959,7458,0.6621230896323833,0.8344612181155648,2421,0.10639070442992012,0.9832214765100671,2754,0.04,0.6666666666666666,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,39,0.7600691980127751,2.93,0.9718875502008032,0.6627343585422372,9711,0.7923035666398498,0.9622211366226999,7458,0.6249483684427922,0.8047872340425531,2421,0.09586056644880174,0.9814126394052045,2754,0.055,0.8461538461538461,200
rev1.0,nsl_kdd,xgb_baseline,xgboost,0,0.7785220014194464,3.61,0.9716815981876222,0.6806116560877091,9711,0.8431214802896219,0.9642692838521699,7458,0.6464270962412226,0.828042328042328,2421,0.0915032679738562,0.984375,2754,0.05,0.7692307692307693,200
rev1.0,nsl_kdd,xgb_baseline,xgboost,1,0.7746628814762243,3.78,0.9716815981876222,0.6781171397772189,9711,0.8423169750603379,0.9645324735145094,7458,0.6158612143742255,0.8046411225040475,2421,0.08896151053013798,0.98,2754,0.05,0.7692307692307693,200
rev1.0,nsl_kdd,xgb_baseline,xgboost,2,0.7749290276792051,3.61,0.9719905262073937,0.6755654165473804,9711,0.8433896486993833,0.9642802391537636,7458,0.6464270962412226,0.839142091152815,2421,0.060639070442992014,0.9709302325581395,2754,0.045,0.75,200
rev1.0,nsl_kdd,xgb_baseline,xgboost,3,0.7774130589070263,3.56,0.9718875502008032,0.680657723929035,9711,0.8413783856261733,0.9641979102642901,7458,0.6666666666666666,0.8217922606924644,2421,0.06899055918663761,0.979381443298969,2754,0.045,0.75,200
rev1.0,nsl_kdd,xgb_baseline,xgboost,4,0.7778122782114976,3.51,0.9719905262073937,0.681024531024531,9711,0.8412443014212926,0.9641924081758106,7458,0.6575795125981,0.8210417741103662,2421,0.08097312999273784,0.9823788546255506,2754,0.035,0.6363636363636364,200
rev1.0,nsl_kdd,xgb_baseline,xgboost,5,0.7756387508871541,3.53,0.972299454227165,0.6777203560149296,9711,0.8366854384553499,0.9640043256604357,7458,0.6712102437009501,0.8329062019477191,2421,0.06136528685548293,0.9712643678160919,2754,0.05,0.7142857142857143,200
rev1.0,nsl_kdd,xgb_baseline,xgboost,6,0.7762154009936125,3.53,0.9715786221810319,0.680883308075341,9711,0.8416465540359346,0.9642089093701997,7458,0.6658405617513424,0.8080200501253133,2421,0.05809731299927379,0.9815950920245399,2754,0.075,0.7894736842105263,200
rev1.0,nsl_kdd,xgb_baseline,xgboost,7,0.7780784244144784,3.49,0.9716815981876222,0.6831245927749222,9711,0.8417806382408153,0.9642144063891875,7458,0.6464270962412226,0.8021527421834956,2421,0.0915032679738562,0.9882352941176471,2754,0.05,0.7142857142857143,200
rev1.0,nsl_kdd,xgb_baseline,xgboost,8,0.7784332860184529,3.52,0.9718875502008032,0.6842601319509897,9711,0.8405738803968893,0.9641648723469701,7458,0.6707971912432878,0.8031651829871415,2421,0.0766158315177923,0.9768518518518519,2754,0.035,0.6363636363636364,200
rev1.0,nsl_kdd,xgb_baseline,xgboost,9,0.7729772888573456,3.49,0.9719905262073937,0.6782352518502551,9711,0.8291767229820327,0.9636901979117968,7458,0.6654275092936803,0.8010939830929885,2421,0.06535947712418301,0.9836065573770492,2754,0.06,0.75,200
